"","StationCode","Latitude","Longitude"
"220","SMCR8_022",34.16055,-116.86775
"221","SMCR8_025",34.1739,-116.9839
"222","SMCR8_027",34.3061,-117.4697
"223","SMCR8_028",34.2026,-117.44583
"224","SMCR8_032",34.07629,-117.06626
"225","SMCR8_034",34.08909,-116.92669
"226","SMCR8_035",34.08193,-116.89027
"227","SMCR8_041",34.29543,-117.45882
"228","SMCR8_042",33.94623,-117.61423
"229","SMCR8_046",33.79096,-117.71949
"230","SMCR8_048",33.71756,-117.78945
"231","SMCR8_050",34.15651,-116.79441
"232","SMCR8_051",33.99512,-117.15212
"233","SMCR8_055",34.0396,-117.21973
"234","SMCR8_057",34.25033,-117.54376
"235","SMCR8_062",34.21257,-117.45844
"236","SMCR8_068",34.2575,-117.64123
"237","SMCR8_069",34.2481,-117.51276
"238","SMCR8_070",33.77122,-116.7675
"239","SMCR8_071",33.75347,-117.67887
"240","SMCR8_074",34.08167,-116.8887
"241","SMCR8_079",34.22123,-117.40798
"242","SMCR8_080",34.1584,-116.88742
"243","SMCR8_085",34.0499,-117.23238
"244","SMCR8_087",34.16287,-116.80945
"245","SMCR8_093",34.16891,-116.88367
"246","SMCR8_100",34.22644,-116.93895
"247","SMCR8_105",34.25265,-117.4925
"248","SMCR8_106",34.15508,-116.88528
"249","SMCR8_110",33.96468,-117.46518
"250","SMCR8_112",34.26148,-117.46974
"251","SMCR8_114",34.13646,-117.1897
"252","SMCR8_116",33.66396,-117.2787
"253","SMCR8_118",34.27906,-117.47566
"254","SMCR8_121",34.12372,-117.19213
"255","SMCR8_124",34.12656,-117.07716
"256","SMCR8_126",34.17413,-116.89426
"257","SMCR8_142",33.77361,-117.68839
"258","SMCR8_147",33.79427,-116.74714
"259","SMCR8_149",33.76593,-117.67927
"260","SMCR8_151",33.98873,-117.39614
"261","SMCR8_153",33.82397,-117.50602
"262","SMCR8_155",33.80703,-116.77699
"263","SMCR8_159",33.73904,-116.83089
"264","SMCR8_160",33.73134,-116.8102
"265","SMCR8_162",33.73786,-117.4173
"266","SMCR8_163",33.79478,-116.74829
"267","SMCR8_165",33.96358,-117.47533
"268","SMCR8_168",34.17865,-116.84726
"269","SMCR8_171",33.72398,-117.78003
"270","SMCR8_172",33.78651,-116.8323
"271","SMCR8_178",33.6824,-117.81066
"272","SMCR8_180",33.67623,-117.78944
"273","SMCR8_184",34.16546,-117.01553
"274","SMCR8_203",34.18658,-116.91801
"275","SMCR8_206",33.73283,-116.74047
"276","SMCR8_208",34.0023,-117.16428
"277","SMCR8_218",33.80978,-116.7403
"278","SMCR8_219",34.11105,-116.99195
"279","SMCR8_226",34.19146,-117.27421
"280","SMCR8_243",33.82798,-117.20878
"281","SMCR8_258",34.01399,-117.17834
"282","SMCR8_259",34.07638,-117.09505
"283","SMCR8_267",33.67606,-116.67871
"284","SMCR8_270",33.72944,-116.74809
"285","SMCR8_271",34.22931,-117.47362
"286","SMCR8_272",34.08788,-116.91434
"287","SMCR8_305",33.70892,-117.80066
"288","SMCR8_327",34.23294,-117.42894
"289","SMCR8_334",34.18321,-116.8773
